gender,age,know_this_game,playing_experience,third_person_commentary,first_person_commentary,place,user_id,score,original_file,delay,utterance_id,topic_tag
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,3,MM3,-1,14,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,2,MM4,-1,19,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,4,MM2,-0.75,20,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,1,MF24,1.25,10,アイテム
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,3,MF11,0,10,ファイター
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,2,MF13,1.75,15,アイテム
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,4,MF14,1.25,25,アイテム
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,4,FF1,0.5,37,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,5,MF14,0.75,28,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,3,MM3,1,5,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,4,MM2,0.5,31,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,3,FF1,-0.75,29,ファイター
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,4,MM4,-1.25,22,ファイター
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,5,MF13,0,33,対戦結果
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,4,MF24,-1.25,9,アイテム
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,4,MF21,1.5,23,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,3,MM1,1.75,5,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,2,MM1,0.75,19,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,4,FF3,-0.5,6,アイテム
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,5,MM1,-0.5,16,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,5,MF21,-1.5,23,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,3,MF23,1.5,26,対戦風景
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,3,MF13,1,9,ファイター
男性,30代,知っている,機会があれば，家族や友人とプレイをすることもある程度,数回程度見たことがある,数回程度見たことがある,自宅,user42399_20241205201949-0272,3,MM3,-1.5,7,アイテム
女性,40代,知っている,自分でプレイした経験はないが，対戦動画をみたことがある程度,数回程度見たことがある,数回程度見たことがある,自宅,user45956_20241205195327-0834,4,MF22,0.75,4,アイテム
